"Interval Start","Interval End","Interval Complete","Filters","Media Type","Queue Id","Queue Name","Offer","Answer","Answer %","Abandon","Abandon %","ASA","Service Level %","Service Level Target %","Avg Wait","Avg Handle","Avg Talk","Avg Hold","Avg ACW","Hold","Transfer","Short Abandon"
"3/17/26 12:00 AM","3/17/26 12:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","","","","","","","","","","","","","","","",""
"3/17/26 12:30 AM","3/17/26 01:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","1","1","1","","","2066","1","","2066","25993","19739","","6254","","",""
"3/17/26 01:00 AM","3/17/26 01:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","2","2","1","","","1741.5","1","","1741.5","14166","11914","","2252","","",""
"3/17/26 01:30 AM","3/17/26 02:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","","","","","","","","","","","","","","","",""
"3/17/26 02:00 AM","3/17/26 02:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","","","","","","","","","","","","","","","",""
"3/17/26 02:30 AM","3/17/26 03:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","2","2","1","","","1897.5","1","","1897.5","24958.5","20063","","4895.5","","",""
"3/17/26 03:00 AM","3/17/26 03:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","1","1","1","","","1818","1","","1818","73628","72452","","1176","","",""
"3/17/26 03:30 AM","3/17/26 04:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","1","1","1","","","2155","1","","2155","12388","10238","","2150","","",""
"3/17/26 04:00 AM","3/17/26 04:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","2","2","1","","","1954","1","","1954","58486.5","56895","","1591.5","","",""
"3/17/26 04:30 AM","3/17/26 05:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","6","6","1","","","1915.8333333333333","1","","1915.8333333333333","57795.4","54310.6","","3484.8","","",""
"3/17/26 05:00 AM","3/17/26 05:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","5","5","1","","","2012.2","1","","2012.2","70451","68859","","1592","","",""
"3/17/26 05:30 AM","3/17/26 06:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","9","9","1","","","1908.3333333333333","1","","1908.3333333333333","99307.66666666667","97513.66666666667","","1794","","",""
"3/17/26 06:00 AM","3/17/26 06:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","10","10","1","","","1887.1","1","","1887.1","51460","48313.818181818184","","3146.181818181818","","",""
"3/17/26 06:30 AM","3/17/26 07:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","21","21","1","","","1902.6666666666667","1","","1902.6666666666667","65894.66666666667","60176.73684210526","","2748.9444444444443","","2",""
"3/17/26 07:00 AM","3/17/26 07:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","22","20","0.9090909090909091","2","0.09090909090909091","1855","1","","1766.7272727272727","59815.782608695656","59060.045454545456","","3030.7391304347825","","1","2"
"3/17/26 07:30 AM","3/17/26 08:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","32","32","1","","","1824.15625","1","","1824.15625","72360.9","69503.56666666667","","2857.3333333333335","","2",""
"3/17/26 08:00 AM","3/17/26 08:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","26","26","1","","","1833.6153846153845","1","","1833.6153846153845","81225.10714285714","77877","","3348.1071428571427","","1",""
"3/17/26 08:30 AM","3/17/26 09:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","17","17","1","","","1828","1","","1828","61517.94117647059","58256.529411764706","","3261.4117647058824","","",""
"3/17/26 09:00 AM","3/17/26 09:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","16","16","1","","","1845.3125","1","","1845.3125","62706.125","59569.6875","","3136.4375","","2",""
"3/17/26 09:30 AM","3/17/26 10:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","23","20","0.8695652173913043","3","0.13043478260869565","1808.95","1","","1712.1739130434783","80466","76877.45","","3588.55","","","3"
"3/17/26 10:00 AM","3/17/26 10:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","22","21","0.9545454545454546","1","0.045454545454545456","1848.8095238095239","1","","1837.3636363636363","61965.42857142857","59314.76190476191","","2650.6666666666665","","1","1"
"3/17/26 10:30 AM","3/17/26 11:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","29","29","1","","","3815.448275862069","1","","3815.448275862069","67915.78571428571","65116.96428571428","","2798.8214285714284","","1",""
"3/17/26 11:00 AM","3/17/26 11:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","23","22","0.9565217391304348","1","0.043478260869565216","3051.818181818182","1","","2927.913043478261","73416.13043478261","70053.08695652174","","3363.0434782608695","","","1"
"3/17/26 11:30 AM","3/17/26 12:00 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","17","16","0.9411764705882353","1","0.058823529411764705","1870.75","1","","1792.7058823529412","64230.1875","61511.3125","","2718.875","","2","1"
"3/17/26 12:00 PM","3/17/26 12:30 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","20","19","0.95","1","0.05","1865.4736842105262","1","","1790.4","62429.68421052631","56853.73684210526","","5575.9473684210525","","1","1"
"3/17/26 12:30 PM","3/17/26 01:00 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","22","22","1","","","1852.409090909091","1","","1852.409090909091","57147.21052631579","53367.68421052631","","3779.5263157894738","","2",""
"3/17/26 01:00 PM","3/17/26 01:30 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","18","16","0.8888888888888888","2","0.1111111111111111","1835.75","1","","1667.5","86167.77777777778","82645.27777777778","","3522.5","","","2"
"3/17/26 01:30 PM","3/17/26 02:00 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","11","10","0.9090909090909091","","","1869.7","1","","1869.7","97298.09090909091","92909.36363636363","","4388.727272727273","","",""
"3/17/26 02:00 PM","3/17/26 02:30 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","24","24","1","1","0.041666666666666664","1787.8333333333333","1","","1731.36","83112.66666666667","79046.375","","4066.2916666666665","","","1"
"3/17/26 02:30 PM","3/17/26 03:00 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","9","9","1","","","1840.2222222222222","1","","1840.2222222222222","140511.875","136950","","3561.875","","",""
"3/17/26 03:00 PM","3/17/26 03:30 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","9","8","0.8888888888888888","1","0.1111111111111111","1857.875","1","","1771","97082.22222222222","93110.88888888889","","3971.3333333333335","","","1"
"3/17/26 03:30 PM","3/17/26 04:00 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","16","15","0.9375","1","0.0625","1782.7333333333333","1","","1688.625","62795.6","58367.13333333333","","4428.466666666666","","","1"
"3/17/26 04:00 PM","3/17/26 04:30 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","9","9","1","","","11531.555555555555","1","","11531.555555555555","81806.625","78544","","3262.625","","",""
"3/17/26 04:30 PM","3/17/26 05:00 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","12","11","0.9166666666666666","1","0.08333333333333333","1595.2727272727273","1","","1546.5","102743","99231.41666666667","","3511.5833333333335","","","1"
"3/17/26 05:00 PM","3/17/26 05:30 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","7","5","0.7142857142857143","2","0.2857142857142857","1702.6","1","","1422.5714285714287","50826.2","47468.4","","3357.8","","","2"
"3/17/26 05:30 PM","3/17/26 06:00 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","5","5","1","","","1728.2","1","","1728.2","56166.8","52238.2","","3928.6","","",""
"3/17/26 06:00 PM","3/17/26 06:30 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","2","2","1","","","1931","1","","1931","56848.5","54642.5","","2206","","",""
"3/17/26 06:30 PM","3/17/26 07:00 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","1","1","1","","","1884","1","","1884","86651","82071","","4580","","",""
"3/17/26 07:00 PM","3/17/26 07:30 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","3","3","1","","","2064","1","","2064","111678.5","110036","","1642.5","","",""
"3/17/26 07:30 PM","3/17/26 08:00 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","1","1","1","","","1882","1","","1882","53623.5","49434","","4189.5","","",""
"3/17/26 08:00 PM","3/17/26 08:30 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","","","","","","","","","","","","","","","",""
"3/17/26 08:30 PM","3/17/26 09:00 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","2","2","1","","","1834.5","1","","1834.5","111421.5","109329","","2092.5","","",""
"3/17/26 09:00 PM","3/17/26 09:30 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","","","","","","","","","","","","","","","",""
"3/17/26 09:30 PM","3/17/26 10:00 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","1","1","1","","","1951","1","","1951","28134","22570","","5564","","",""
"3/17/26 10:00 PM","3/17/26 10:30 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","1","1","1","","","2105","1","","2105","61633","54614","","7019","","",""
"3/17/26 10:30 PM","3/17/26 11:00 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","","","","","","","","","","","","","","","",""
"3/17/26 11:00 PM","3/17/26 11:30 PM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","","","","","","","","","","","","","","","",""
"3/17/26 11:30 PM","3/18/26 12:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","","","","","","","","","","","","","","","",""
